Date,IST Time,US Time (EST),Session,Speaker,Topic
08-Feb-2026,17:00 – 17:30,06:30 AM – 07:00 AM,Inaugural Ceremony,"sis Gayatri (Newyork, USA)",Values-based Vision & Purpose
08-Feb-2026,17:30 – 17:55,07:00 AM – 07:25 AM,Keynote Address 1,Dr Andrise Bass (USA),Rediscovering Core Goodness – Global Perspective
08-Feb-2026,17:55 – 18:20,07:25 AM – 07:50 AM,Keynote Address 2,Brother Charlie Hogg,Awareness – Who Am I Beyond Roles?
08-Feb-2026,18:20 – 18:35,07:50 AM – 08:05 AM,Break,—,—
08-Feb-2026,18:35 – 19:40,08:05 AM – 09:10 AM,Panel Discussion 1,"Steve Chiu, NurVidha, Mugahed Alameri, Bianca, Dr. Murali",Awareness in Action
08-Feb-2026,19:40 – 20:15,09:10 AM – 09:45 AM,Interactive Workshop,Kevin,Strengthening Awareness
08-Feb-2026,20:15 – 20:45,09:45 AM – 10:15 AM,Youth Reflection Circles,Ruby Gullien,Reflections and Inner Exploration
08-Feb-2026,20:45 – 21:00,10:15 AM – 10:30 AM,Silence Session & Closing,miss. Ayako (Japan),Guided Silence & Meditation
09-Feb-2026,17:00 – 17:20,06:30 AM – 06:50 AM,Keynote Address 3,Mukul Choudhary,From Awareness to Wisdom
09-Feb-2026,17:20 – 17:40,06:50 AM – 07:10 AM,Keynote Address 4,Akshay Raj Jawarani,Contemplation as Inner Strength
09-Feb-2026,17:40 – 18:20,07:10 AM – 07:50 AM,Panel Discussion 2,"Pankti Shah, Sandeep Aarya, Sandeep Kirtene, Amol",Strengthening Inner Core
09-Feb-2026,18:20 – 18:30,07:50 AM – 08:00 AM,Break,—,—
09-Feb-2026,18:30 – 19:00,08:00 AM – 08:30 AM,Interactive Workshop,Dr. Sohini Shastri (online),Reflect, Realign, Renew
09-Feb-2026,19:00 – 19:20,08:30 AM – 08:50 AM,Thought Leader Special,Anil Sahastrabudhe,Purpose-Driven Youth Life
09-Feb-2026,19:20 – 19:40,08:50 AM – 09:10 AM,Special Address,Bhushan Shrivastav,Education with Inner Values
09-Feb-2026,19:40 – 20:00,09:10 AM – 09:30 AM,Youth Icon,Akash Kandhar,Emotional Balance & Inner Pause
